Species,Max-Elevation_m,Min_Body_mass_g,Max_Body_mass_g,min-length-cm,max-length-cm,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue,Digestion method,Temp (Degree Celcius),Identification,Number_of_species,Number_of_MP_detected_in_species,Average_weight (gm),Wing size (mm),Average_age,TNMP,Mppersp,Includes_microplastic,Level,Mpperg,ng/g,particle /mg,Size MP (mm),20-50,50-100,100-500,500-1000,>1000,Films,Foam,Fragments,Fiber/thread,Pellets,Others,Cellulose,PE,Acrylic,PP,PA,PS,PVC,Nylon,PET,PES,Rayon,Cotton,Polyacrylic,Others,Blue,Transparent/white,Yellow,Red/Brown,black,Others,total
Fulmarus glacialis,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,,Europe,1997,Marine,Female,,,,,23,,,,,,13.1,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmarus,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,18.99 ,74.50 ,"Herwighamna, Bjornoya",Svalbard,,Europe,2019,,,,,,,22,,,,,36,1.6,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turdus merula,2300 ,80.00 ,125.00 ,,25.00 ,28.50 ,5.30 ,128.40 ,102.70 ,Omnivore,Omnivore,Forest,2,1,Generalist,23.04 ,53.32 ,Podlaskie Voivodeship,,Poland,Europe,2020,Terrestrial,,,,,,16,,,,,351,40.11,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turdus philomelos,2800 ,,,,,23.10 ,5.00 ,116.00 ,67.70 ,Omnivore,Invertivore,Forest,1,3,Generalist,23.04 ,53.32 ,Podlaskie Voivodeship,,Poland,Europe,2020,Terrestrial,,,,,,18,,,,,722,21.94,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-80.71 ,-6.94 ,,,,,2019,,,RP,,,,276,,,,,26,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-77.74 ,-11.38 ,Isla Mazorca,,,,2019,,,RP,,,,198,,,,,68,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-77.26 ,-11.78 ,Isla Psecadores,,,,2019,,,RP,,,,280,,,,,51,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-77.26 ,-11.78 ,Isla Psecadores,,,,2019,,,RP,,,,443,,,,,92,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-76.62 ,-12.79 ,Isla Asia,,,,2019,,,RP,,,,233,,,,,11,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucocarbo bougainvillii,,,,,,69.70 ,11.00 ,292.80 ,2485.00 ,Carnivore,Aquatic predator,Marine,3,1,Aquatic,-75.19 ,-15.37 ,Punta San Juan,,,,2019,,,RP,,,,230,,,,,1,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinclus cinclus,,,64.00 ,,18.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,,,2017,,,Fecal,,,,29,,,,,,1.3,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinclus cinclus,,,64.00 ,,18.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,,,2017,,,RP,,,,16,,,,,,1.7,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
